Date,predict
1월 1주차,23296.19063
1월 2주차,22049.17383
1월 3주차,21291.66016
1월 4주차,21608.36774
1월 5주차,21477.30781
2월 1주차,15732.19678
2월 2주차,12298.99763
2월 3주차,12659.89788
2월 4주차,18492.98549
2월 5주차,12873.07338
3월 1주차,12200
3월 2주차,14657.14313
3월 3주차,15639.16462
3월 4주차,15362.9022
3월 5주차,14461.55957
3월 6주차,14560.69531
4월 1주차,21233.33333
4월 2주차,19762.3245
4월 3주차,28799.47461
4월 4주차,31400
4월 5주차,19637.0044
5월 1주차,16942.40747
5월 2주차,16221.26214
5월 3주차,16189.48424
5월 4주차,17103.95731
5월 5주차,17412.64421
6월 1주차,6949.278809
6월 2주차,6400
6월 3주차,6400
6월 4주차,7130.329102
6월 5주차,6896.452009
6월 6주차,6400
7월 1주차,11274.10547
7월 2주차,10084.92355
7월 3주차,9966.523368
7월 4주차,7407.314732
7월 5주차,6308.567383
8월 1주차,10517.5612
8월 2주차,10074.08569
